Place Name,Latitude,Longitude
"Gilgit, Gilgit-Baltistan, Pakistan",35.920834,74.308334
"Ahmedpur East, Bahawalpur, Punjab, Pakistan",29.143644,71.25724
"K?moke, Gujranwala, Punjab, Pakistan",31.976515,74.222015
"Pir Mahal, Toba Tek Singh, Punjab, Pakistan",30.767956,72.437813
"Jacobabad, Sindh, Pakistan",28.281891,68.438171
"Sahiwal, Punjab, Pakistan",30.677717,73.106812
"Zafarwal, Narowal, Punjab, Pakistan",32.337006,74.903336
"Khanewal, Punjab, Pakistan",30.286415,71.93203
"Jaranwala, Faisalabad, Punjab, Pakistan",31.345394,73.42981
"New Mirpur City, Azad Kashmir, Pakistan",33.148392,73.75177
"Multan, Multan District, Punjab Province, Pakistan",30.181459,71.492157
"Nawabshah, Shaheed, Sindh, Pakistan",26.244221,68.410034
"Dera Gh?zi Kh?n, Punjab, Pakistan",30.032486,70.640244
"Larkana, Pakistan",27.563993,68.215134
"Malakw?l, Pakistan",32.555496,73.194351
"Haveli Lakha, Pakistan",30.448601,73.697578
"Jalalpur Pirwala, Pakistan",29.505283,71.222084
"Nowshera, Pakistan",34.015858,71.975449
"Hafizabad, Pakistan",32.071697,73.68573
"Veh?ri, Punjab, Pakistan",30.045246,72.348869
"Okara, Punjab, Pakistan",30.8085,73.459396
"Attock, Pakistan",33.768051,72.360703
"Abbott?bad, Khyber Pakhtunkhwa, Pakistan",34.168751,73.221497
"Qurtaba City, Pakistan",33.351357,72.774734
"Mandi Bahauddin, Punjab, Pakistan",32.588169,73.497345
"Bahawalpur, Pakistan",29.395721,71.683334
"Karak, Khyber-Pakhtunkhwa, Pakistan",33.115269,71.095535
"Muzaffargarh, Punjab, Pakistan",30.074377,71.184654
"Shik?rpur, Pakistan",27.955648,68.637672
"Khairpur, Sindh, Pakistan",27.529951,68.758141
"Kamoki, Pubjab, Pakistan",31.975508,74.223801
"Sargodha, Punjab, Pakistan",32.082466,72.669128
"Pattoki, Punjab, Pakistan",31.025009,73.847878
"Makli, Pakistan",24.743303,67.890938
"Garhi Habibullah, Pakistan",34.405262,73.380066
"Bhalwal, Punjab, Pakistan",32.265396,72.905388
"Bannu, Pakistan",32.986111,70.604164
"Nankana Sahib, Pakistan",31.452097,73.708305
"Dijkot, Pakistan",31.217646,72.997368
"S?diq?b?d, Pakistan",28.31035,70.127403
"Turbat, Pakistan",26.004168,63.060555
"Quetta, Balochistan, Pakistan",30.18327,66.996452
"Gujrat, Punjab, Pakistan",32.571144,74.075005
"Bahawalpur, Pakistan",29.418068,71.670685
"Sukkur, Pakistan",27.713926,68.836899
"Khanqah Dogran, Punjab, Pakistan",31.831667,73.623055
"Jhelum, Punjab, Pakistan",32.940548,73.727631
"Qila Didar Singh, Pakistan",32.136673,74.012383
"Gujranwala, Punjab, Pakistan",32.166351,74.1959
"Badin, Pakistan",24.65572,68.837242
"Sheikhupura, Pakistan",31.716661,73.985023
"Wah, Pakistan",33.783184,72.723076
"Taunsa, Pakistan",30.705557,70.657776
"Hub, Balochistan, Pakistan",25.067562,66.917038
"Narowal, Punjab, Pakistan",32.099476,74.874733
"Chichawatni, Punjab, Pakistan",30.535133,72.699539
"Muzaffarabad, Pakistan",34.359688,73.471054
"Shahdara, Pakistan",31.621113,74.282364
"Lahore, Pakistan",31.582045,74.329376
"Peshawar, Pakistan",34.025917,71.560135
"Thakot, Pakistan",34.78804,72.929115
"Saidu Sharif, Mingora, Pakistan",34.749271,72.357063
"Sanghar, Pakistan",26.044418,68.95388
"Mardan, Pakistan",34.206123,72.0298
"Saddar Town, Karachi, Pakistan",24.85848,67.001884
"Kalabagh, Pakistan",32.966,71.553001
"Gwadar, Pakistan",25.126389,62.322498
"Pasr?r, Pakistan",32.265652,74.669525
"Mingora, Pakistan",34.773647,72.359901
"Kasur, Pakistan",31.118793,74.463272
"Kaku, Lahore, Pakistan",31.721159,74.273758
"Faisalabad, Pakistan",31.418715,73.079109
"Thatta, Pakistan",24.749731,67.911636
"Chowk Azam, Pakistan",30.970655,71.212303
"Layyah, Pakistan",30.96475,70.939934
"M?rpur Kh?s, Pakistan",25.529104,69.013573
"Rawalpindi, Pakistan",33.626057,73.071442
"Daska, Pakistan",32.338779,74.353065
"Bhakkar, Pakistan",31.633333,71.066666
"?rifw?la, Punjab, Pakistan",30.297859,73.058235
"Karachi, Pakistan",24.860966,66.990501
"Dullewala, Pakistan",31.839722,71.43
"Shahpur, Pakistan",32.286613,72.430252
"Kot Addu, Pakistan",30.466667,70.966667
"Jhang, Jhang District, Pakistan",31.278046,72.31176
"Jamshoro, Pakistan",25.416868,68.274307
"Islamabad, Pakistan",33.738045,73.084488
"Chunian, Pakistan",30.963774,73.977982
"Sadhar City, Faisalabad, Pakistan",31.368967,72.942528
"Si?lkot, Pakistan",32.497223,74.53611
"Dera Ismail Khan, Pakistan",31.831482,70.911598
"Chagai, Pakistan",29.29767,64.706734
"Khush?b, Punjab, Pakistan",32.294445,72.349724
